
# Surface 0 of 1 surfaces

# Curve title: ""sg3_contourtmp2.dat""

# Contour 0, label:        2
-0.795534  0.255995  0.7 
-0.81799  0.170662  0.7 
-0.831463  0.085329  0.7 
-0.835954 -4e-06  0.7 
-0.831462 -0.085337  0.7 
-0.817988 -0.17067  0.7 
-0.795532 -0.256003  0.7 
-0.768001 -0.330729  0.7 
-0.763633 -0.341336  0.7 
-0.718457 -0.426669  0.7 
-0.682668 -0.481979  0.7 
-0.660651 -0.512002  0.7 
-0.597335 -0.585059  0.7 
-0.585059 -0.597335  0.7 
-0.512002 -0.660651  0.7 
-0.481979 -0.682668  0.7 
-0.426669 -0.718457  0.7 
-0.341336 -0.763633  0.7 
-0.330729 -0.768001  0.7 
-0.256003 -0.795532  0.7 
-0.17067 -0.817988  0.7 
-0.085337 -0.831462  0.7 
-4e-06 -0.835954  0.7 
 0.085329 -0.831463  0.7 
 0.170662 -0.81799  0.7 
 0.255995 -0.795534  0.7 
 0.33073 -0.768001  0.7 
 0.341328 -0.763637  0.7 
 0.426661 -0.718462  0.7 
 0.481979 -0.682668  0.7 
 0.511994 -0.660658  0.7 
 0.585059 -0.597335  0.7 
 0.597327 -0.585068  0.7 
 0.660651 -0.512002  0.7 
 0.68266 -0.481991  0.7 
 0.718457 -0.426669  0.7 
 0.763634 -0.341336  0.7 
 0.767993 -0.33075  0.7 
 0.795532 -0.256003  0.7 
 0.817988 -0.17067  0.7 
 0.831463 -0.085337  0.7 
 0.835954 -4e-06  0.7 
 0.831463  0.085329  0.7 
 0.81799  0.170662  0.7 
 0.795534  0.255995  0.7 
 0.767993  0.330751  0.7 
 0.763638  0.341328  0.7 
 0.718462  0.426661  0.7 
 0.68266  0.481991  0.7 
 0.660658  0.511994  0.7 
 0.597327  0.585068  0.7 
 0.585068  0.597327  0.7 
 0.511994  0.660658  0.7 
 0.481991  0.68266  0.7 
 0.426661  0.718462  0.7 
 0.341328  0.763638  0.7 
 0.330751  0.767993  0.7 
 0.255995  0.795534  0.7 
 0.170662  0.81799  0.7 
 0.085329  0.831463  0.7 
-4e-06  0.835954  0.7 
-0.085337  0.831463  0.7 
-0.17067  0.817988  0.7 
-0.256003  0.795532  0.7 


# Contour 14, label:      0.6
-0.085337  0.769784  0.6 
-0.0966827  0.767993  0.6 
-0.17067  0.754936  0.6 
-0.256003  0.729837  0.6 
-0.341336  0.694699  0.6 
-0.364077  0.68266  0.6 
-0.426669  0.645104  0.6 
-0.491819  0.597327  0.6 
-0.512002  0.580248  0.6 
-0.580256  0.511994  0.6 
-0.597335  0.491809  0.6 
-0.645109  0.426661  0.6 
-0.682668  0.364062  0.6 
-0.694704  0.341328  0.6 
-0.72984  0.255995  0.6 
-0.754937  0.170662  0.6 
-0.768001  0.0966313  0.6 
-0.769786  0.085329  0.6 
-0.774276 -4e-06  0.6 
-0.769785 -0.085337  0.6 
-0.768001 -0.0966333  0.6 
-0.754935 -0.17067  0.6 
-0.729837 -0.256003  0.6 
-0.6947 -0.341336  0.6 
-0.682668 -0.364063  0.6 
-0.645104 -0.426669  0.6 
-0.597335 -0.491808  0.6 
-0.580248 -0.512002  0.6 
-0.512002 -0.580248  0.6 
-0.491808 -0.597335  0.6 
-0.426669 -0.645104  0.6 
-0.364063 -0.682668  0.6 
-0.341336 -0.6947  0.6 
-0.256003 -0.729837  0.6 
-0.17067 -0.754935  0.6 
-0.0966333 -0.768001  0.6 
-0.085337 -0.769785  0.6 
-4e-06 -0.774276  0.6 
 0.085329 -0.769786  0.6 
 0.0966313 -0.768001  0.6 
 0.170662 -0.754937  0.6 
 0.255995 -0.72984  0.6 
 0.341328 -0.694704  0.6 
 0.364062 -0.682668  0.6 
 0.426661 -0.645109  0.6 
 0.491809 -0.597335  0.6 
 0.511994 -0.580256  0.6 
 0.580248 -0.512002  0.6 
 0.597327 -0.491819  0.6 
 0.645104 -0.426669  0.6 
 0.68266 -0.364077  0.6 
 0.694699 -0.341336  0.6 
 0.729837 -0.256003  0.6 
 0.754936 -0.17067  0.6 
 0.767993 -0.0966827  0.6 
 0.769784 -0.085337  0.6 
 0.774276 -4e-06  0.6 
 0.769785  0.085329  0.6 
 0.767993  0.0966807  0.6 
 0.754938  0.170662  0.6 
 0.72984  0.255995  0.6 
 0.694703  0.341328  0.6 
 0.68266  0.364077  0.6 
 0.645109  0.426661  0.6 
