
# Surface 0 of 1 surfaces

# Curve title: "x * x + y * y"

# IsoCurve 0, 25 points
# x y z type
# IsoCurve 15, 25 points
# x y z type
-1.0240000e+00 2.5600000e-01 1.1141120e+00 i
-9.3866667e-01 2.5600000e-01 9.4663111e-01 i
-8.5333333e-01 2.5600000e-01 7.9371378e-01 i
-7.6800000e-01 2.5600000e-01 6.5536000e-01 i
-6.8266667e-01 2.5600000e-01 5.3156978e-01 i
-5.9733333e-01 2.5600000e-01 4.2234311e-01 i
-5.1200000e-01 2.5600000e-01 3.2768000e-01 i
-4.2666667e-01 2.5600000e-01 2.4758044e-01 i
-3.4133333e-01 2.5600000e-01 1.8204444e-01 i
-2.5600000e-01 2.5600000e-01 1.3107200e-01 i
-1.7066667e-01 2.5600000e-01 9.4663111e-02 i
-8.5333333e-02 2.5600000e-01 7.2817778e-02 i
0.0000000e+00 2.5600000e-01 6.5536000e-02 i
8.5333333e-02 2.5600000e-01 7.2817778e-02 i
1.7066667e-01 2.5600000e-01 9.4663111e-02 i
2.5600000e-01 2.5600000e-01 1.3107200e-01 i
3.4133333e-01 2.5600000e-01 1.8204444e-01 i
4.2666667e-01 2.5600000e-01 2.4758044e-01 i
5.1200000e-01 2.5600000e-01 3.2768000e-01 i
5.9733333e-01 2.5600000e-01 4.2234311e-01 i
6.8266667e-01 2.5600000e-01 5.3156978e-01 i
7.6800000e-01 2.5600000e-01 6.5536000e-01 i
8.5333333e-01 2.5600000e-01 7.9371378e-01 i
9.3866667e-01 2.5600000e-01 9.4663111e-01 i
1.0240000e+00 2.5600000e-01 1.1141120e+00 i

# IsoCurve 16, 25 points
# x y z type
-1.0240000e+00 3.4133333e-01 1.1650844e+00 i
-9.3866667e-01 3.4133333e-01 9.9760356e-01 i
-8.5333333e-01 3.4133333e-01 8.4468622e-01 i
-7.6800000e-01 3.4133333e-01 7.0633244e-01 i
-6.8266667e-01 3.4133333e-01 5.8254222e-01 i
-5.9733333e-01 3.4133333e-01 4.7331556e-01 i
-5.1200000e-01 3.4133333e-01 3.7865244e-01 i
-4.2666667e-01 3.4133333e-01 2.9855289e-01 i
-3.4133333e-01 3.4133333e-01 2.3301689e-01 i
-2.5600000e-01 3.4133333e-01 1.8204444e-01 i
-1.7066667e-01 3.4133333e-01 1.4563556e-01 i
-8.5333333e-02 3.4133333e-01 1.2379022e-01 i
0.0000000e+00 3.4133333e-01 1.1650844e-01 i
8.5333333e-02 3.4133333e-01 1.2379022e-01 i
1.7066667e-01 3.4133333e-01 1.4563556e-01 i
2.5600000e-01 3.4133333e-01 1.8204444e-01 i
3.4133333e-01 3.4133333e-01 2.3301689e-01 i
4.2666667e-01 3.4133333e-01 2.9855289e-01 i
5.1200000e-01 3.4133333e-01 3.7865244e-01 i
5.9733333e-01 3.4133333e-01 4.7331556e-01 i
6.8266667e-01 3.4133333e-01 5.8254222e-01 i
7.6800000e-01 3.4133333e-01 7.0633244e-01 i
8.5333333e-01 3.4133333e-01 8.4468622e-01 i
9.3866667e-01 3.4133333e-01 9.9760356e-01 i
1.0240000e+00 3.4133333e-01 1.1650844e+00 i

# IsoCurve 17, 25 points
# x y z type
-1.0240000e+00 4.2666667e-01 1.2306204e+00 i
-9.3866667e-01 4.2666667e-01 1.0631396e+00 i
-8.5333333e-01 4.2666667e-01 9.1022222e-01 i
-7.6800000e-01 4.2666667e-01 7.7186844e-01 i
-6.8266667e-01 4.2666667e-01 6.4807822e-01 i
-5.9733333e-01 4.2666667e-01 5.3885156e-01 i
-5.1200000e-01 4.2666667e-01 4.4418844e-01 i
-4.2666667e-01 4.2666667e-01 3.6408889e-01 i
-3.4133333e-01 4.2666667e-01 2.9855289e-01 i
-2.5600000e-01 4.2666667e-01 2.4758044e-01 i
-1.7066667e-01 4.2666667e-01 2.1117156e-01 i
-8.5333333e-02 4.2666667e-01 1.8932622e-01 i
0.0000000e+00 4.2666667e-01 1.8204444e-01 i
8.5333333e-02 4.2666667e-01 1.8932622e-01 i
